Sonnet Number,Variation Number,Variation Text
83,3,"No brush, I thought, could match your hue,
Nor words, my dear, could e'er encompass thee.
So I stood mute, in awe, and let you through,
My heart, my art, to be your gallery.
In quietude, I paid my deepest debt,
To one who shines beyond all mortal speech,
And as I watched, I learned to forget
The trappings of a poet's reach.
This silence, once a fault, I now proclaim,
A badge of honor, as I stand in awe,
For I corrupt not beauty, playing your game,
While others mar with words, too raw, too flawed, too shallow.
  In one of your fair eyes, life's symphony
  Plays on, a melody no poet can disown."
84,1,"One alone, whose match no other can claim,
In you resides the treasure, the unique name.
The humble writer, when your praise they sing,
Finds their own worth reflected, in you they see a king.
Your essence, captured in words, transcends,
Bringing life to paper, glory to its ends.
Yet, beware the allure of excessive fame,
For it may mar the beauty of your flawless frame.
True praise lies in honest, clear reflection,
Not in inflated phrases or hollow affection.

"
84,2,"Who can surpass the accolades you've earned,
Only you, in your true, unmatched form?
The scribe who chronicles your matchless grace,
Finds ample splendor in your sacred space.
Your virtues, inscribed, become their art,
As they mirror your essence, near to heart.
Yet, seek not endless applause, nor yearn,
For false praise only the hollow shall earn.
True honor springs from genuine delight,
In the radiance of your pure, inner light.

"
84,3,"Who can express the wonder that you are,
Save for you, the star that shines afar?
The poet, when they sing your sacred praise,
Reveals their soul, in your resplendent haze.
Your qualities, inscribed, become their song,
As they echo your truth, where they belong.
But, beware the trap of hollow acclaim,
For it blinds the heart, and dulls the brain.
True glory thrives in honest esteem,
In the brilliance of your genuine beam."
85,1,"My tongue-tied muse, in reverence, stays silent,
As accolades for you, in golden lines,
With richly drawn comparisons, are built,
In prose and verse, by the muses' grace, refined.
I contemplate kind thoughts, while others pen
Their praises, in elegant and polished form.
As humble scribe, I echo their ""Amen,""
To every hymn, by gifted minds performed.
Upon hearing your encomiums, I concur,
""Indeed, it's true!""—and then, in silent awe,
Bestow a deeper love, in mind's secluded purview,
Where words may lag, but feelings hold their draw.
So others celebrate your words, they say,
I celebrate your essence, in my way.

"
85,2,"My muse, confined, withholds her voice,
As tributes to you, in golden script,
With elegant phrases, carefully crafted,
By the muses' hands, are herein scripted.
I harbor favorable thoughts, while others write
Their eloquent praises, in refined prose.
As unversed bard, I add my ""Amen,""
To every song, by nimble minds composed.
When hailing your virtues, I attest,
""Indeed, 'tis true!""—and then, within,
Bestow a warmer love, in heart's quiet nest,
Where words may falter, yet affection thrives.
Thus others cheer your words, they claim,
I cherish you, in silence, all the same.

"
85,3,"My muse, with reverence, holds her peace,
As eulogies to you, in golden verse,
With polished phrases, by the muses penned,
In splendid array, here find their place.
I harbor kindred thoughts, while others scribe
Their fervent praises, in eloquent speech.
As unpracticed poet, I affirm
Each encomium, by keen minds conceived.
Upon hearing your acclaim, I assent,
""Indeed, 'tis so!""—and then, within,
A deeper love, in mind's secluded firmament,
I nurture, where words may seldom tread.
So others laud your words, they say,
I laud your spirit, in my quiet way."
86,1,"Was it the lofty ship of his grand discourse,
Bound for the lure of you, so coveted,
That sank my thoughts in brain's deep-rooted source,
In death's own womb, where life's seeds were sown and spread?

Or was it his spirit, by spectral hands inspired,
Writing beyond earthly reach, which stole my breath?
No, neither he nor those nocturnal bards conspired,
Aiding his cause, my verse they failed to quell or repress.

He, nor the ghostly presence, ever near,
Whispering wisdom in the hush of night,
Could claim triumph o'er my hush, made clear;
I entertained no dread, no fright, no blight.

Yet when your visage graced his written word,
My voice faltered, lost to your enchanting allure.

"
86,2,"Was it the towering mast of his eloquent speech,
Seeking the treasure of your heart, so desired,
That anchored my musings in thought's ocean's reach,
In the tomb of mind, where ideas were conceived and fired?

Or was it his soul, by spectral muses taught,
Scribing beyond mortal limits, that left me numb?
No, neither he, nor his nocturnal scribes, fraught
With aid, my verse they failed to overwhelm or stun.

He, nor the ghostly guide, his penance paid,
Whispering wisdom in night's hushed serenade,
Could claim victory over my silence, displayed;
I harbored not a single thread of dread.

But when your face adorned his written page,
My voice retreated, robbed of strength by age.

"
86,3,"Was it the soaring wing of his grand oration,
Seeking the haven of your love, so yearned for,
That lodged my thoughts in heart's grand foundation,
In the crypt of soul, where dreams were born and stored?

Or was it his essence, by shades instructed,
Scribing past mortal bounds, that left me cold and drained?
No, neither he, nor his nightly comrades, busted,
Aiding his quest, my verse they failed to claim or stain.

He, nor the spectral muse, his debt now paid,
Whispering wisdom in the night's tranquil parade,
Could claim dominion over my silence, displayed;
I bore no burden of a fear, long-faded.

Yet when your image filled his written design,
My voice was lost, defeated by your divine."
87,1,"Adieu, too precious for my sole ownership,
Your value, I suspect, you're well aware.
The title to your worth sets you free henceforth;
My claims on you, in every aspect, rare.
How can I own you but by your permission,
And for that treasure, where is my deserving?
The reason for this generous remission,
In me, is absent, thus my claim is swerving.
In ignorance, you gave yourself away,
Or to the one who received it, erred;
Thus, magnanimously, your gift at play,
On second thought, it finds its rightful guard.
  A fleeting dream, like kings we've been in slumber,
  Awake, we find ourselves in quite anotherumber.

"
87,2,"Farewell, too costly for my mere containing,
And likely, well aware, you are your price.
The title deed to your value, unconstraining,
My hold on you, in every aspect, not nice.
How could I keep you but by your assenting,
And for such riches, where is my deserving?
The cause of this munificent presenting,
In me, is lacking, thus my claim is swerving.
Unknowingly, you granted yourself, before,
Knowing not the worth of what you gave,
Or to whom you gave it, that much is sure,
So generously, your gift began to pave.
  A dream's illusion, kings we've been in reverie,
  Awake, no royalty does our sight decree.

"
87,3,"Adieu, too noble for my singular housing,
And surely, you must know, your value's height.
The charter of your worth, with no rehousing,
My ties to you, in every aspect, slight.
How could I possess you but by your condoning,
And for such wealth, where is my deserving?
The reason for this bountiful bestowing,
In me, is absent, thus my claim is swerving.
In innocence, you granted yourself away,
Or to the one who held it, in mistake;
Thus, with great grace, your gift on display,
On wiser judgment, it its path does take.
  A fleeting shadow, kings we've been in twilight,
  Awake, no scepter shines in day's clear light."
88,1,"When you deem me of little worth,
And cast my value in disdain,
Beside you, I will wage my fight,
To prove your virtue, though you feign.

With my own flaws, I am well-versed,
Upon your deeds, I can unfurl
A tale of hidden faults, rehearsed,
That, in my loss, you'll gain a pearl.

And thus, I'll gain as well, you see,
For focusing all my love on you,
The wounds I give myself, set free,
Strengthen our bond, a double-hue.

My love is such, to you, I cling,
For your vindication, I shall bring.

"
88,2,"On that day when scorn adorns your gaze,
And my worth fades in your esteem,
By your side, I'll raise my blade,
To champion virtue in your dream.

My own faults, I've come to know,
In your transgressions, I shall lay
A chronicle of secrets, so
You'll rise in triumph come what may.

In this plight, I too shall find,
A boon in focusing on your grace,
For every wound, self-inflicted, binds,
Our love, two souls, in one embrace.

My love, thus bound, I'll play my part,
For your true heart, I'll bear the smart.

"
88,3,"In the moment you debase my worth,
And cast my virtues to the ground,
I'll join your cause, and fight with mirth,
To prove your merit all around.

My weaknesses, I understand,
And in your errors, I perceive,
A chance to make my stand,
And let our love's true power weave.

As I recount the faults concealed,
Your triumph in my loss will grow,
And I, in turn, shall feel,
The sweetness of this love's ebb and flow.

My love, so deep, I'll play the role,
For your true worth, I'll pay the toll."
89,1,"If you should claim my absence is my fault,
I'll contemplate and address that transgression;
Speak of my flaws, and I shall surely halt,
In response to your reasons, offer no objection.
You could never harm me with harsher words,
Setting conditions on the longing for change,
Than I could, knowing your desires, incur,
By choking off connections, feigning estrangement,
Avoiding paths we once walked side by side,
Erasing your treasured name from my speech,
Lest I should tarnish its sanctity, and confide
In others, profaning the love we preach.
For your sake, I'll oppose myself, indeed,
For I cannot love one for whom you feel no need.

"
89,2,"If you should charge me with abandonment,
I'll ponder and respond to your reproach;
Speak of my missteps, and I'll come to a standstill,
In light of your reasons, I'll offer no defense.
You cannot wound me more deeply than I,
By embracing the change you deem necessary,
Strangling the bond between us, feigning disdain,
Avoiding the places where we once roamed,
Expelling your cherished name from my heart,
Lest I should tarnish its value, and share
The tale of our love, now profaned and torn apart,
With others, who'd never understand our care.
For your sake, I'll fight against my own heart,
For I cannot love one for whom you have no part.

"
89,3,"If you should charge me with desertion,
I'll contemplate and address your complaint;
Speak of my shortcomings, and I shall halt,
In response to your reasons, I'll make no argument.
You cannot harm me more grievously than I,
By accepting the change you deem essential,
Stifling the love that once bound us together,
Feigning indifference, avoiding your gaze,
Erasing your sweet name from my memory,
Lest I should tarnish its meaning, and speak
Of our past love, now tainted and broken in two,
To those who would never comprehend our hearts' bleed.
For your sake, I'll oppose myself, I vow,
For I cannot love one for whom you feel revulsion now."
90,1,"Then despise me as you choose, if e'er, anon,
Now, as the world aligns to thwart my way,
Join hands with fickle fate and bid me stoop,
Do not delay your wrath for a later day.
Ah, do not, when my soul has weathered this storm,
Creep in upon the heels of vanquished pain;
Bestow not following darkness after storm,
To draw out fate's intended ruin's reign.
If you must leave, then part not in the end,
When lesser woes have had their wicked play,
But come upon me swift; thus, I shall comprehend
The utmost force of ill fortune's disarray;
  And other trials of grief, which now appear dire,
  Shall fade in light of losing you, my sire.

"
90,2,"Scorn me at your leisure, if thou desire, now,
As now the world conspires to bring me low,
Embrace the scorn of chance and make me bend,
Let not your scorn arrive on Fortune's slow.
Ah, do not, when this sorrow I have surmounted,
Sneak in upon the heels of woe outworn;
Grant not a tempest's night a stormy morn,
To stretch the hand of ruin further torn.
If you abandon me, do not depart,
When petty griefs have played their bitter part,
But strike me first; thus, I'll know at heart
The fullest brunt of fate's divisive art;
  And other pangs of woe, which now seem cruel,
  Shall seem less harsh compared to losing you as fool.

"
90,3,"Turn from me if you must, when ready, now,
While fortune's malice bends to thwart my vow,
Join with her scorn and bid me bow my head,
Do not delay your scorn for future's brow.
Ah, do not, when this sorrow I have left,
Creep in upon the heels of conquered pain;
Bestow not darkness after storm's relief,
To lengthen fate's intended ruin's reign.
If you depart, then leave not in the end,
When lesser griefs have played their wicked game,
But come upon me swift; thus, I shall comprehend
The fullest weight of ill fortune's blame;
  And other trials of woe, which now appear dire,
  Shall fade in light of losing thee, my fire."
91,1,"Some find pride in their lineage, some in their art,
Some in their gold, some in their physical might,
Some in their fashion, a superficial start,
Some in their birds of prey and steeds of stature's height.
And every preference harbors its delight,
A joy that eclipses all other forms.
Yet, these aspects hold no sway in my sight,
For I've found a joy that adorns and transforms.
Your love surpasses noble birth, to me,
Enriches more than gold, uplifts me higher than finery,
Brings delight beyond the thrill of the chase or speed of steeds;
In your affection, I take pride, boasting of my needs.
Alas, that you could strip me of this solace,
Leaving me bereft, devoid of any solace.

"
91,2,"In their origin, some find cause for pride,
Some in their talents, others in their earthly treasure,
Some in their bodies, strength they cannot hide,
Some in their clothes, the trendy fashion's pleasure.
And every choice has its attendant pleasure,
A joy that outshines all other sources.
But these trappings do not bring me to measure,
Another joy has captured all my sources.
Your love outweighs high birth, to me,
Enriches more than wealth, uplifts me higher than finery's glamour,
Brings delight beyond the lure of the hunt or swift steeds;
In your affection, I find pride, shouting aloud my needs.
Yet, if you were to snatch this solace away,
I'd be left lamenting, in utter disarray.

"
91,3,"Some take pride in their origin, some in their mastery,
Some in their riches, some in their physical might,
Some in their clothes, the new fashion's vanity,
Some in their hawks and horses, their dazzling sight.
And every inclination has its chosen delight,
A joy that surpasses all other joys.
Yet, these aspects do not bring me to light,
Another joy has captured all my poise.
Your love outshines high birth, to me,
Enriches more than wealth, uplifts me higher than finery's charm,
Brings delight beyond the thrill of the hunt or horses' swiftness;
In your affection, I find pride, declaring my needs.
Alas, if you should take this joy from my sight,
I'd be left desolate, in utter plight."
92,1,"Yet dare to flee, you cannot escape,
My life's companion, fate has bound us close,
And life itself exists in love's sweet shape,
Which pulses with the beat of your heart's throes.
No harm can mar me while your love remains,
For life's slightest touch can sever love's strong thread,
In joy or sorrow, love remains the chains
That bind us in a union blessed and red.
I fear not fickleness, for life's tied to
Your love, and thus, I rest in bliss and peace.
O, what a joy it is to share this bond,
To love and live, and in that love, release.
  But what's so perfect that it fears no flaw?
  Love's truth may hide, and we may know it not.

"
92,2,"Go then, and flee, your flight is all in vain,
For as the sun does chase the moon away,
My love will follow you, through joy and pain,
Our fates entwined, no force can break the sway.
Life's breath depends upon the love we share,
And when that love is lost, so too, life fades,
For love's sweet touch does shape the very air
We breathe, and in its absence, shadows wade.
No storm can shake me, for my heart is bound
To yours, and thus, I'll stand, through tempests fierce.
O, what a gift, to share this love profound,
To cherish life, and in that love, immerse.
  But what's so steadfast that it fears no shift?
  Love's compass may point true, or veer adrift.

"
92,3,"Venture away, your absence I'll withstand,
For life and love are in your heart confined,
And as the tide ebbs, then flows on desert sands,
Our love shall never leave my soul behind.
Life's fragile thread is woven by your grace,
And when that thread is cut, life too shall cease,
For love's embrace sustains us in its place,
A haven where our souls find sweet release.
No fear can touch me, for my heart is yours,
And in that love, I find my solace deep.
O, what a gift, to share this love that soars,
To cherish life, and in that love, to keep.
  But what's so sacred that it fears no harm?
  Love's promise may waver, or remain firm."
93,1,"As I persist, assuming your constancy,
I resemble a husband, blind to deceit;
My heart beholds love's visage, ever gracious,
Though you've turned your affection to retreat.
No malice dwells in your enchanting gaze,
A mystery I cannot penetrate;
In others' countenance, false hearts display
Their twisted tales in the lines they create.
Yet in your creation, heaven did conspire
To grace your face with love's eternal fire;
Whatever thoughts or secret heart desires,
Your visage speaks but sweetness, kindling higher.
  Your beauty blooms, an apple ripe with grace,
  If inner worth does not match outward face.

"
93,2,"Should I abide, trusting in your loyalty,
My plight mirrors that of a deceived spouse;
Love's semblance lingers in your countenance,
Though your affection now to others flows.
No scorn resides within your fathomless eyes,
A riddle I cannot unravel or read;
In countless faces, the counterfeit guise
Of false hearts etched in scowls and wrinkles spread.
But in your aspect, heaven's will decreed
That everlasting love should therein dwell;
Whatever thoughts or secret heart concedes,
Your looks reveal naught but sweetness to compel.
  Your charm unfolds, an apple ripe with zest,
  If purest heart does not confirm outer quest.

"
93,3,"If I endure, believing in your faith,
My state resembles that of a cuckolded mate;
Love's semblance lingers in your form, though changed,
And thus, I'm left in ignorance to wait.
No rancor dwells within your tranquil sight,
A puzzle I cannot unravel nor solve;
In myriad faces, the false hearts' plight
Is scribed in furrows, scowls, and creases groove.
But in your mien, the heavens did conspire
To fix love's visage, kindling endless delight;
Whatever thoughts or secret heart inspires,
Your looks disclose naught but sweetness, day and night.
  Your beauty shines, an apple ripe with hue,
  If truest love does not its promise ensue."
94,1,"Those who possess the strength to harm yet refrain,
Who show their greatest deeds through inaction,
With gentle touch they move the hearts of stone,
Unmoved themselves, they resist temptation's lure.
Such souls inherit heaven's choicest blessings,
Preserving nature's bounty without waste,
In their own image, they are truly cast,
Stewards of their virtues, others trace.
The summer's bloom is dear to summer's heart,
Yet lives and dies for its own solace;
But if this blossom falls to basest art,
The humblest weed may claim its rightful place.
For noblest things, by actions tainted, grow vile,
Fair lilies rot with a more loathsome smell than wild.

"
94,2,"Individuals with might to wound but won't,
Whose truest selves in stillness are displayed,
Who stir the hearts of flint, themselves remain,
Impassive, cold, and to allure unchanged.
These souls are granted heaven's choicest gifts,
Conserving nature's wealth from wasteful loss,
Their visage mirrors their own nobility,
Others but keepers of their high-born grace.
The summer's blossom pleases summer's eye,
Though lives and breathes for its own pleasure;
But if this bloom encounters vilest plight,
The lowliest weed may rise to its stature.
For purest things, by deeds defiled, turn vile,
Lilies that fester stink worse than the soil.

"
94,3,"Those gifted with might to harm yet hold it back,
Whose greatest feats are in their quietude,
Who stir the hearts of stone, yet unperturbed,
Immovable, slow to yield to allure.
Such souls inherit heaven's richest treasures,
Preserving nature's wealth from needless waste,
Their faces bear the mark of their own worth,
Others but guardians of their brightness rare.
The summer's flower charms summer's soul,
Existing for itself, it lives and dies;
But if this bloom is touched by foulest blight,
The humblest weed may claim its rightful prize.
For finest things, by actions tainted, grow vile,
Lilies that rot smell far fouler than the wild."
95,1,"In what sweet grace dost thou disguise the stain
That marrs the bloom of thy esteemed renown!
How artfully thy sins are woven in twain
Within the tapestry of thy virtuous crown!
That voice, which narrates life's chronicle,
Bestows a gentle touch upon thy sinful deeds;
Thy name, when spoken, does the ill annul,
A curse transformed by honeyed words it needs.
O, what a temple for transgressions found
A home within thee, where grace and guilt abide,
Where flaws are hidden by the sacred gown,
And ugliness transformed by truth's sweet guide!
  Beware, sweet heart, of this grand disguise;
  A sharpened sword, when blunted, shall still rise.

"
95,2,"With what sweet charm dost thou conceal the blot
That tarnishes the luster of thy name!
How gracefully thy sins are interwoven, knotted
In the fabric of thy hard-won fame!
That tongue, which speaks of days gone by,
Enshrouds thy sins in soft and tender words,
Thy name, when uttered, turns the lie
Into a truth, as songbirds sing their chords.
O, what a haven for vice has made its nest
In thee, where beauty's veil conceals each vice,
Where darkness hides behind a sunlit crest,
And sins are cloaked by the guise of sacrifice!
  Take heed, dear heart, of this seductive mask;
  A gilded cage, when opened, still may bask.

"
95,3,"How sweetly dost thou veil the disgrace
That dims the splendor of thy cherished name!
How cunningly thy sins find their embrace
Within the fortress of thy honored fame!
That voice, which whispers tales of yore,
Enshrouds thy sins in gentle, soothing tones,
Thy name, when heard, does evil restore
To innocence, as if by angels flown.
O, what a sanctuary for sin has chosen
To dwell within thee, where grace and guilt unite,
Where shadows flee before the dawn has broken,
And darkness fades before the morning light!
  Beware, sweet heart, of this beguiling grace;
  A jeweled scepter, when misused, still has place."
96,1,"Some claim it's your youth, others your allure;
Some praise your grace, your frolicsome nature adore.
Both flaws and charm ensnare hearts, pure and obscure;
In you, defects turn into sought-after lore.

As on a queen's hand, the humblest gem may shine,
In you, perceived faults become truths divine.
How many hearts could the fierce wolf then enshrine,
If he wore the fleece of a gentle lamb, so fine?

How many souls would follow your radiant path,
If you'd harness all your splendor and wrath?
Yet, exercise restraint; I cherish you, thus:
Mine is your virtue, as you are mine to claim.

"
96,2,"They whisper that your youth is your undoing,
Or that your charm lies in your playful mood.
Both grace and error, to many enchanting,
In you, are transformed, becoming the chosen few.

As on a queen's finger, the meekest stone may gleam,
In you, perceived faults become the purest dream.
How many hearts could the lone wolf then redeem,
If he wore the guise of a gentle lamb, serene?

How many hearts would you captivate and sway,
If you unleashed your full mighty, dazzling array?
Still, hold your course; I love you as you are:
Mine is your essence, as you are mine to hold.

"
96,3,"Some say your youth is your transgression,
Others claim it's your grace that steals their hearts.
Both flaws and beauty, to many a confession,
In you, become virtues, setting apart.

As on a queen's hand, the simplest gem may glow,
In you, perceived errors become radiant traits.
How many hearts could the lonely wolf bestow,
If he donned the fleece of a lamb, so great?

How many souls would you ensnare and lead,
If you revealed the strength that you've long since bred?
Restrain yourself; I love you all the more,
Mine is your spirit, as you are mine to adore."
97,1,"In winter's guise has my absence shaped,
A season's chill 'twixt us has crept.
Bleak frosts I've known, skies darkly draped,
Where once was warmth, now vacancy is swept.

This time apart, a summer's grace,
A fertile autumn's swell held dear.
Yet, barren joy in solace placed,
Like hollow vessels yearning for their seer.

The fruits of love, abandoned, lone,
Save for the echo of your laughter's ring.
For you are sun, and all is sown,
In your absence, even birds don't sing.
  Or if they do, their voices lack all mirth,
  Paling leaves foretell the frost's rebirth.

"
97,2,"My lengthy absence, like a winter's pall,
Cast shadows long upon our shared delight.
Ice-cold memories of you did call,
As autumn's bounty hid from daylight.

This separation, cloaked in summer's guise,
Brought teeming life, yet empty comfort near.
Fruitful and full, yet lacking your eyes,
Like orphaned crops, devoid of father's cheer.

The summer sun, your smile's gentle blaze,
Lies dormant, while you wander far away.
Beneath the sunless skies, birds' songs haze,
In your absence, winter steals the day.
  If melody rings, it bears a heavy heart,
  A mournful tune, as winter sets its part.

"
97,3,"My prolonged absence, like a winter's sigh,
Crept in between us, cold and bleak.
Frozen moments, shadows on the sky,
Replaced the warmth that once did speak.

This time apart, a summer's grace,
An autumn's fullness, rich and ripe.
Yet, joy without you held no place,
Like abandoned nests, devoid of life.

The fruits of love, once bright and gay,
Now wilted, lifeless, in your stead.
For you are summer, and they decay,
In your absence, even birds have fled.
  Or if they stay, their songs are tinged with loss,
  A winter's whisper, in summer's gloss."
98,1,"In your presence, springtime has been unseen,
As April, in finery, dances with glee,
Bestowing vitality on every green,
Even stern Saturn smiles at such revelry.
The songs of birds, the fragrant blossoms' array,
Could not inspire my tongue to sing or say,
A summer's tale, nor from earth's embrace take,
The flowers that in gardens of delight lay.
I did not ponder the lily's pure attire,
Nor marvel at the rose's crimson allure,
For they were merely echoes of your fire,
The paragon of beauty, forever pure.
And thus, in absence, winter still holds sway,
With your memory, I while away the day.

"
98,2,"Away from you, I've missed the spring's embrace,
When April, in finery, leaps and sings,
Inspiring heavy Saturn to give chase,
And laugh with joy that the cold days end.
The birds' sweet carols, flowers' varied bloom,
Could not my heart or lips to speak entice,
Of summer's tales, nor pluck its vibrant plume,
From gardens graced by Nature's sacrifice.
I marked not the lily's spotless array,
Nor praised the rose's rich and fiery glow,
For they were but shadows of your play,
Your visage, the wellspring from which beauty flows.
In your absence, winter's chill remains,
And in your shadow, I find sweet pains.

"
98,3,"In your absence, spring has lost its grace,
As April, in finery, dances alone,
And Saturn, heavy-hearted, seeks embrace,
To chase the winter chill from bone and bone.
The birds' sweet songs, the flowers' scents unfurled,
Could not my tongue or quill to speak provoke,
Of summer's stories, nor the blooms unswirl,
From gardens where such blossoms gently stoke.
I marked not the lily's pure, white attire,
Nor praised the rose's deep and fiery blush,
For they were but reflections of your tire,
Your visage, the lodestar of beauty's hush.
In your absence, winter's grip stays fast,
And in your shadow, I am held steadfast."
99,1,"I addressed the violet in advance:
""Sweet plunderer, where did you filch your charm,
If not from my beloved's sweet expanse?
The purple hue on your delicate balm
Is drawn from my love's veins, so I am told.
You've robbed their splendor, in your visage so bold.""

The lily, I scolded, for stealing her grace,
And marjoram buds, for they took her tresses;
The roses trembled, each in its own place,
One blushing in shame, another in distresses;
A third, neither red nor white, had thieved from each,
And added your fragrance to its possession.

For stealing such scents, a vengeful canker grew,
Consuming the rosebush, a lesson true.

I observed more blossoms, yet none could escape
The sweetness or color they'd unjustly scraped.

"
99,2,"To the violet, I spoke with disdain:
""Sweet purloiner, whence did you acquire
That fragrance, if not from my love's domain?
The purple tint on your cheek does aspire
To match the blush in my love's tender veins.
You've stained your visage with unrighteous gains.""

The lily, I reproached, for its stolen glee,
And marjoram buds, for they'd taken her hair;
The roses quivered, as if in a ballet,
One red with shame, another pale with care;
A third, devoid of hue, had filched from both,
And added your perfume to its flair.

A vengeful canker, for this theft, arose,
Consuming the rosebush, a dreadful throes.

I noticed other flowers, yet none were free
Of sweetness or color stolen from thee.

"
99,3,"I chided the violet, so sweet and fair:
""Sweet borrower, where did you find your charm,
If not in my love's gentle atmosphere?
The purple blush on your cheek does disarm
My heart, for it echoes my love's own glow;
You've dyed your visage with unlawful spoils.""

The lily, I chastised, for its stolen wiles,
And marjoram buds, for they'd taken her grace;
The roses shivered, as if in denial,
One red with shame, another pale with haste;
A third, without a shade, had filched from each,
And added your scent to its own embrace.

A vengeful canker, for this theft, began
To eat the rosebush; it withered, banned.

I saw more flowers, yet none could elude
The sweetness or color they'd all intruded."
100,1,"Where have you gone, my muse, your voice so still,
Neglecting the source of your grandest strength?
Dissipating energy on frivolous quill,
Obscuring brilliance meant for noblest wreath?
Reawaken, absent-minded muse, and swiftly
Redeem the moments squandered in vain;
In soothing verses, sing to the worthy,
Bestowing talent and reason once again.
Awaken, languid muse; observe anew
My beloved's visage, free from blemish or flaw.
If age has left its mark, let satire ensue,
And render Time's ravages contemptible law.
Grant my love enduring fame, swift and bright,
Outpacing Time's remorseless, fleeting flight.

"
100,2,"Muse, where have you been, so silent and aloof,
Neglecting the wellspring of your power?
Wasting your fury on trifling proof,
Dimming your radiance in the darkest hour?
Return, forgetful muse, and swiftly mend
The wasted hours with gentle, soothing rhyme;
Sing to the ear that cherishes your friend,
And grants your pen both grace and prime.
Awaken, weary muse; behold once more
My beloved's face, untouched by Time's cruel hand.
If age has left its trace, employ satire to explore,
And make Time's thefts a mockery, vast and grand.
Bestow upon my love a fame that thrives,
Overtaking Time's relentless, remorseless jives.

"
100,3,"O Muse, where have you strayed, abandoning so long
The essence of your strength and glory?
Wasting your spirit on unworthy song,
Obscuring your light in the shadows of folly?
Revive, forgetful muse, and swiftly restore
The idle hours with gentle, rhythmic grace;
Sing to the ear that honors your lore,
And lends your quill both art and space.
Awaken, languid muse; observe again
My beloved's face, unmarked by Time's cruel trace.
If age has left its imprint, employ satire's reign,
And render Time's spoils a disgrace, wide and chaste.
Grant my love a fame that swiftly flies,
Outpacing Time's unyielding, remorseless guise."
101,1,"Oh, wandering muse, what debt do you incur
For straying from the path of truth and grace?
Both truth and beauty on my love's face depend,
And so, your duty lies in this embrace.
Speak now, O muse. Will you not perhaps confess,
""Truth needs no mask, for it is beautiful;
Beauty needs no adornment, for it is the best;
When combined, they lose their pure, individual pull?""
Because he needs no flattery, will you stay mute?
Silence is not pardon, for it lies within you
To grant him life beyond a golden crypt,
And praise him through the ages yet to debut.
  Now, perform your duty, muse; I show you how
  To make him live as he does now, even then.

"
101,2,"O vagrant muse, what penance must you pay
For forsaking truth in beauty's sweet guise?
Both truth and beauty on my love's display,
And thus, your purpose, in this union lies.
Answer me, O muse. Might you not rather say,
""Truth needs no gilding, for it shines so bright;
Beauty needs no stage, for it holds the day;
Together, they may blind with their resplendent light?""
Because he seeks no glory, will you be still?
Excuse not silence thus, for it dwells in thee
To make him last past a golden, ornate rill,
And let him be admired by generations yet to see.
  So, fulfill your charge, muse; I guide thee to
  Make him endure when ages gaze anew.

"
101,3,"O errant muse, what reckoning is at hand
For abandoning truth in favor of delight?
Both truth and beauty on my love's command,
And thus, your purpose, in this service, takes its flight.
Tell me, O muse. Could you not possibly assert,
""Truth needs no ornament, for it is enough;
Beauty needs no fanfare, for it's the finest art;
Together, they may overwhelm with their blissful stuff?""
Because he craves no fame, will you then be hushed?
Silence is not absolution, for it dwells in you
To make him linger past a golden, ornate hush,
And let him be commended by the ages yet to ensue.
  Thus, carry out your task, muse; I lead thee through
  A path to make him live, as he does now, anew."
102,1,"Though seeming frail, my affection grows in might,
My ardor does not wane in the dimmed light.
A love proclaimed by all loses its worth,
In silent reverence, true love finds its berth.

In spring's embrace, our love was fresh and new,
I sang its praises, bright as morning dew.
Yet, as summer swells, the nightingale
Ceases her song, lest joy turns stale.

No more the summer night is so sweet,
As countless serenades fill the air,
The once precious tune, now lost in the heat,
Drowned by the cacophony everywhere.

Thus, I too, remain silent at times,
Lest my love's melody loses its rhymes.

"
102,2,"My affection deepens, though it seems to wane,
In love's quiet whispers, I remain.
A love that's boasted is but merchandise,
True sentiment resides in tender sighs.

In spring's soft bloom, our love was born,
Its beauty in my heart was sworn.
Like the nightingale, in summer's glow,
I hushed my voice, as the passion grew.

No more the summer night is so pure,
As countless songs, the silence obscure.
The once cherished tune, now lost in the din,
Of voices raised, where silence once sat in.

Hence, I hold my peace, at times,
To keep our love's sweet, rhythmic rhymes.

"
102,3,"My love is fortified, though it seems to ebb,
Less ostentatious, more heartfelt is myebb.
A love that's flaunted is but shallow coin,
True love's value in quiet moments join.

In spring's sweet breath, our love first blossomed,
Its tendrils curling 'round my soul, encompassed.
Like the nightingale, in summer's zenith,
I ceased my song, as love deepened within it.

No more the summer night is so serene,
As myriad voices, the silence skew.
The once precious song, now lost in the throng,
Of loud professions, where whispers once throng.

Thus, I stay mute, at times,
To safeguard our love's gentle rhymes."
103,1,"Alas, how poor my muse's offerings be,
When such broad canvas lies before her gaze,
The bare idea's worth outshines the plea,
Enhanced by naught but my belated praise.
Oh, chide me not, if now my words are spent!
Gaze in the mirror, there you'll find the source
Of inspiration, dwarfing my intent,
Dimming my words, and leaving me remorse.
Would it not wrong the subject, to amend,
The art that thrives without my humble skill?
My verses but one purpose do intend,
To sing of you, your virtues, and your will.
  Nay, more than ink can hold, your image lives,
  Reflected back, when you to mirror gives.

"
